Timestamp,ECG,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,TempC,IR,BPM,Red,SpO2,emotion_label,activity_label
2025-07-28T22:58:56.604654,1.148,9.777,0.061,0.041,0.027,0.26,0.744,38.3,1023,108,7567,98.1,Fear,Standing
2025-07-28T22:58:57.604654,1.389,9.825,0.018,0.015,0.273,-0.197,0.336,37.9,1023,117,8085,98.0,Fear,Standing
2025-07-28T22:58:58.604654,0.956,9.8,-0.025,-0.104,0.604,-0.057,-0.333,38.1,1023,117,7672,98.1,Fear,Standing
2025-07-28T22:58:59.604654,1.931,9.823,-0.018,-0.057,0.045,-0.207,-0.486,37.8,1023,115,7626,98.6,Fear,Standing
2025-07-28T22:59:00.604654,1.452,9.685,-0.033,0.036,-0.413,-0.24,-0.327,38.0,1023,112,7910,98.3,Fear,Standing
2025-07-28T22:59:01.604654,1.496,9.821,0.085,-0.012,0.399,0.397,-0.206,38.0,1023,114,7509,98.3,Fear,Standing
2025-07-28T22:59:02.604654,1.016,9.864,0.028,-0.056,0.084,-0.283,0.533,38.2,1023,116,8080,97.7,Fear,Standing
2025-07-28T22:59:03.604654,1.904,9.784,0.063,0.072,-0.249,0.279,-0.617,38.5,1023,100,7273,97.5,Fear,Standing
2025-07-28T22:59:04.604654,1.22,9.736,-0.104,-0.038,-0.016,0.155,0.388,37.9,1023,107,7832,97.4,Fear,Standing
2025-07-28T22:59:05.604654,1.166,9.785,0.006,0.046,0.175,0.116,0.656,37.9,1023,105,7832,98.2,Fear,Standing
2025-07-28T22:59:06.604654,1.028,9.873,-0.062,0.014,0.57,0.189,-0.426,38.0,1023,111,7917,98.1,Fear,Standing
2025-07-28T22:59:07.604654,2.0,9.806,0.055,0.014,-0.006,-0.506,-0.32,38.2,1023,110,7568,97.5,Fear,Standing
2025-07-28T22:59:08.604654,2.0,9.783,-0.007,-0.028,0.183,-0.311,0.448,37.8,1023,107,8021,98.2,Fear,Standing
2025-07-28T22:59:09.604654,1.484,9.71,0.004,-0.044,0.074,-0.006,0.319,38.0,1023,114,8360,98.0,Fear,Standing
2025-07-28T22:59:10.604654,1.031,9.806,-0.046,0.045,-0.055,0.042,0.204,37.9,1023,104,7388,97.2,Fear,Standing
2025-07-28T22:59:11.604654,1.394,9.751,0.035,-0.056,-0.126,-0.023,0.205,38.0,1023,109,8099,97.6,Fear,Standing
2025-07-28T22:59:12.604654,0.567,9.876,0.061,0.023,0.105,-0.105,0.211,37.9,1023,116,7708,98.6,Fear,Standing
2025-07-28T22:59:13.604654,1.672,9.721,-0.031,0.004,-0.031,-0.304,0.371,38.0,1023,110,7514,97.9,Fear,Standing
2025-07-28T22:59:14.604654,1.036,9.808,-0.032,0.045,0.043,-0.32,0.295,38.1,1023,110,7653,98.2,Fear,Standing
2025-07-28T22:59:15.604654,1.38,9.886,-0.008,0.108,-0.146,-0.35,-0.431,38.0,1023,114,7483,97.7,Fear,Standing
2025-07-28T22:59:16.604654,0.789,9.86,-0.038,-0.013,0.091,-0.653,0.331,37.9,1023,110,7853,98.0,Fear,Standing
2025-07-28T22:59:17.604654,1.708,9.837,0.025,0.023,-0.188,-0.087,-0.147,38.2,1023,117,7942,98.2,Fear,Standing
2025-07-28T22:59:18.604654,1.969,9.754,0.043,-0.043,-0.367,-0.197,-0.207,37.9,1023,106,8378,98.1,Fear,Standing
2025-07-28T22:59:19.604654,1.387,9.818,0.007,-0.127,-0.298,0.088,-0.178,38.3,1023,107,7523,98.6,Fear,Standing
2025-07-28T22:59:20.604654,1.179,9.784,-0.016,0.013,-0.085,0.154,-0.127,37.9,1023,112,7739,98.2,Fear,Standing
2025-07-28T22:59:21.604654,1.168,9.89,0.004,-0.056,0.16,-0.664,0.275,38.5,1023,115,7486,98.6,Fear,Standing
2025-07-28T22:59:22.604654,1.943,9.765,0.023,-0.043,-0.436,-0.194,-0.05,38.0,1023,114,7647,97.0,Fear,Standing
2025-07-28T22:59:23.604654,2.0,9.835,-0.008,-0.024,0.422,0.103,-0.303,37.9,1023,117,7971,97.9,Fear,Standing
2025-07-28T22:59:24.604654,1.472,9.83,-0.01,-0.052,0.087,-0.022,-0.432,38.1,1023,115,7687,97.4,Fear,Standing
2025-07-28T22:59:25.604654,0.943,9.805,0.031,0.042,0.167,-0.154,0.089,38.0,1023,111,7521,98.2,Fear,Standing
2025-07-28T22:59:26.604654,0.864,9.947,-0.031,-0.074,0.437,0.043,-0.32,38.1,1023,112,7573,97.8,Fear,Standing
2025-07-28T22:59:27.604654,1.661,9.764,-0.08,-0.156,0.011,-0.336,-0.549,37.9,1023,113,7449,96.8,Fear,Standing
2025-07-28T22:59:28.604654,0.937,9.792,0.146,-0.018,-0.3,0.078,-0.498,38.1,1023,107,8025,97.4,Fear,Standing
2025-07-28T22:59:29.604654,0.492,9.809,0.033,0.043,0.065,0.126,-0.004,37.9,1023,108,7446,97.5,Fear,Standing
2025-07-28T22:59:30.604654,1.513,9.755,0.022,0.01,0.125,-0.415,0.129,37.7,1023,111,7736,98.2,Fear,Standing
2025-07-28T22:59:31.604654,1.409,9.793,-0.029,-0.09,0.003,0.038,0.057,38.2,1023,114,7986,98.0,Fear,Standing
2025-07-28T22:59:32.604654,1.334,9.762,0.043,0.028,-0.177,-0.261,-0.277,38.0,1023,107,7400,97.8,Fear,Standing
2025-07-28T22:59:33.604654,1.082,9.838,0.039,0.006,0.028,-0.111,0.182,37.8,1023,112,7285,97.5,Fear,Standing
2025-07-28T22:59:34.604654,1.483,9.845,-0.006,0.006,0.212,-0.203,-0.057,37.9,1023,112,7587,97.7,Fear,Standing
2025-07-28T22:59:35.604654,1.525,9.776,0.007,-0.063,-0.192,-0.786,0.186,37.9,1023,110,7133,98.0,Fear,Standing
2025-07-28T22:59:36.604654,1.417,9.775,0.09,-0.004,0.534,0.099,0.08,37.8,1023,108,7745,98.2,Fear,Standing
2025-07-28T22:59:37.604654,1.965,9.812,-0.024,-0.073,0.19,0.028,-0.146,38.3,1023,106,7686,97.9,Fear,Standing
2025-07-28T22:59:38.604654,1.52,9.74,-0.065,0.043,0.145,0.094,-0.237,38.2,1023,110,7674,98.3,Fear,Standing
2025-07-28T22:59:39.604654,1.631,9.772,-0.004,-0.046,0.531,-0.328,0.055,38.2,1023,113,7448,97.7,Fear,Standing
2025-07-28T22:59:40.604654,2.0,9.828,-0.06,0.046,-0.121,-0.784,-0.299,38.2,1023,109,7756,98.7,Fear,Standing
2025-07-28T22:59:41.604654,0.718,9.888,-0.031,0.025,0.18,-0.014,-0.265,38.2,1023,121,7899,97.6,Fear,Standing
2025-07-28T22:59:42.604654,1.346,9.785,0.072,0.086,-0.051,0.188,-0.026,38.1,1023,109,7814,97.9,Fear,Standing
2025-07-28T22:59:43.604654,0.898,9.817,-0.042,-0.036,-0.616,0.412,0.132,38.3,1023,116,7626,97.6,Fear,Standing
2025-07-28T22:59:44.604654,1.243,9.767,-0.044,-0.045,0.148,0.395,0.125,37.8,1023,111,7728,98.2,Fear,Standing
2025-07-28T22:59:45.604654,1.647,9.756,0.05,-0.005,-0.097,-0.176,0.23,37.7,1023,122,7785,97.4,Fear,Standing
2025-07-28T22:59:46.604654,1.349,9.78,0.035,-0.101,0.021,0.023,0.196,37.7,1023,112,7505,98.1,Fear,Standing
2025-07-28T22:59:47.604654,1.523,9.794,0.068,0.044,-0.077,0.006,-0.232,38.1,1023,112,7510,97.6,Fear,Standing
2025-07-28T22:59:48.604654,1.6,9.843,0.059,-0.006,0.083,-0.084,0.295,37.9,1023,115,7722,97.5,Fear,Standing
2025-07-28T22:59:49.604654,1.077,9.802,-0.028,-0.046,0.202,-0.337,0.094,38.1,1023,104,8063,97.9,Fear,Standing
2025-07-28T22:59:50.604654,1.041,9.788,-0.076,-0.053,-0.007,0.073,0.116,38.3,1023,118,7508,97.9,Fear,Standing
2025-07-28T22:59:51.604654,1.003,9.8,-0.036,-0.036,-0.097,0.087,0.028,37.9,1023,116,7701,98.9,Fear,Standing
2025-07-28T22:59:52.604654,1.342,9.806,-0.038,0.035,0.212,-0.078,0.006,37.4,1023,87,7670,97.5,Enthusiasm,Standing
2025-07-28T22:59:53.604654,1.173,9.786,-0.023,-0.002,0.323,0.154,0.069,37.4,1023,93,7513,98.2,Enthusiasm,Standing
2025-07-28T22:59:54.604654,1.411,9.813,0.064,-0.03,-0.1,0.264,-0.048,37.6,1023,81,6864,97.7,Enthusiasm,Standing
2025-07-28T22:59:55.604654,1.647,9.869,0.017,-0.024,0.429,-0.314,0.312,37.6,1023,87,7564,97.6,Enthusiasm,Standing
2025-07-28T22:59:56.604654,1.45,9.826,-0.064,-0.042,-0.067,-0.431,-0.171,37.4,1023,86,7787,98.0,Enthusiasm,Standing
